"conductortype","ac_line_segment_per_meter_positive_sequence_impedance_r","ac_line_segment_per_meter_positive_sequence_impedance_x","ac_line_segment_per_meter_zero_sequence_impedance_r","ac_line_segment_per_meter_zero_sequence_impedance_x"
"4 - 1x106mm2 (19/0.105in) Al PVC","0.0003309","0.000112","0.0003309","0.000112"
"1 - 4x35mm2 Al XLPE PVC","0.00111","0.000132","0.00111","0.000132"
"1 - 1x1.5mm2 Cu (TPS) PVC PVC","0.0173","0.000119","0.0173","0.000119"
"1 - 3x35mm2 Cu N/S PVC","0.000668","0.000117","0.000668","0.000117"
"16mm2 (7/0.064in) Cu Bare","0.00149","0.00038","0.00149","0.00038"
"4 - 1x70mm2 Cu PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 4x65mm2 (19/0.080in) Cu","0.000342","0.000106","0.000342","0.000106"
"1 - 3x70mm2 Cu N/S PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 4x25mm2 (7/0.080in) Cu","0.000927","0.000141","0.000927","0.000141"
"4 - 1x185mm2 Al XLPE PVC","0.000211","0.000103","0.000211","0.000103"
"50mm2 (7/3.00mm) Fluorine AAAC Bare","0.0007347","0.0003742","0.0007347","0.0003742"
"1 - 4x95mm2 Cu XLPE PVC","0.000247","0.000112","0.000247","0.000112"
"4 - 1x70mm2 Cu XLPE PVC","0.000342","0.000106","0.000342","0.000106"
"1 - 4x120mm2 (0.2in2) Cu SWA PVC","0.000196","0.0000969","0.000196","0.0000969"
"1 - 4x70mm2 Al XLPE HDPE","0.000568","0.000119","0.000568","0.000119"
"1 - 2x25mm2 Cu N/S PVC","0.000927","0.000141","0.000927","0.000141"
"1 - 2x2.5mm2 (7/0.029in) Cu N/S PVC","0.00945","0.000102","0.00945","0.000102"
"1 - 4x35mm2 (19/0.064in) Cu","0.000668","0.000117","0.000668","0.000117"
"4 - 1x40mm2 Cu PVC","0.000669933","0.000104804","0.000669933","0.000104804"
"1 - 1x2.5mm2 (7/0.029in) Cu (TPS) PVC PVC","0.00945","0.000102","0.00945","0.000102"
"1 - 1x6mm2 Cu (TPS) PVC PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 4x35mm2 Cu PVC","0.000668","0.000117","0.000668","0.000117"
"1 - 2x6mm2 Cu N/S PVC","0.00393","0.0000887","0.00393","0.0000887"
"1 - 1x16mm2 Cu (TPS) PVC PVC","0.00147","0.000151","0.00147","0.000151"
"4 - 1x185mm2 Al XLPE HDPE","0.000211","0.000103","0.000211","0.000103"
