icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0004506822WE582,10021908,T1025-U03,T1025,2022-05-01 00:00:00,2023-06-01 00:00:00,icp decom
0004524765WEF6F,10063834,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004524765WEF6F,10063834,T7746-U02,T7746,2024-08-07 00:00:00,,
0004524795WEF78,10018087,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004524795WEF78,10018087,T7746-U02,T7746,2024-08-07 00:00:00,,
0004524932WECA6,10016848,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004524932WECA6,10016848,T7746-U03,T7746,2024-08-07 00:00:00,,
0004528992WEF39,10062765,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004528992WEF39,10062765,T7746-U03,T7746,2024-08-07 00:00:00,,
0004528994WEEB6,10012442,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004528994WEEB6,10012442,T7746-U03,T7746,2024-08-07 00:00:00,,
0004528996WEE33,10012443,T1199-U03,T1199,2022-05-01 00:00:00,2024-08-07 00:00:00,tx change
0004528996WEE33,10012443,T7746-U03,T7746,2024-08-07 00:00:00,,
0004572026WE8BC,10006456,T3107-U03,T3107,2022-05-01 00:00:00,2023-10-05 00:00:00,Meter change
0004572026WE8BC,10075131,T3107-U03,T3107,2023-10-05 00:00:00,,
0004572078WE32F,10010422,T773-U03,T773,2022-05-01 00:00:00,2023-09-19 00:00:00,tx change
0004572078WE32F,10010422,T7670-U02,T7670,2023-09-19 00:00:00,,
0004572079WEF6A,10010418,T773-U03,T773,2022-05-01 00:00:00,2023-09-19 00:00:00,tx change
0004572079WEF6A,10010418,T7670-U02,T7670,2023-09-19 00:00:00,,
0004572173WE4FF,10006416,T4437-U03,T4437,2022-05-01 00:00:00,2023-05-30 00:00:00,Meter change
0004572173WE4FF,10075547,T4437-U03,T4437,2023-05-30 00:00:00,,
0004572478WEF2E,10012594,T3109-U04,T3109,2022-05-01 00:00:00,2022-10-10 00:00:00,icp decom
0004572701WE721,10027132,T3109-U03,T3109,2022-05-01 00:00:00,2022-09-30 00:00:00,icp decom
0004572817WE30C,10011934,T1358-U01,T1358,2022-05-01 00:00:00,2024-08-14 00:00:00,meter removed
0004572817WE30C,,T1358-U01,T1358,2024-08-14 00:00:00,,
0004572995WEFC7,10020684,T4003-U03,T4003,2022-05-01 00:00:00,2023-06-14 00:00:00,tx change
0004572995WEFC7,10020684,T3107-U05,T3107,2023-06-14 00:00:00,,
0004633135WE154,,T3569-U02,T3569,2022-05-01 00:00:00,2023-11-08 00:00:00,tx change
0004633135WE154,,T7421-U02,T7421,2023-11-08 00:00:00,,
0004633875WEAF8,,T3569-U02,T3569,2022-05-01 00:00:00,2023-11-08 00:00:00,tx change
0004633875WEAF8,,T7421-U02,T7421,2023-11-08 00:00:00,,
0004633878WE5A3,,T3569-U02,T3569,2022-05-01 00:00:00,2023-11-08 00:00:00,tx change
0004633878WE5A3,,T7421-U02,T7421,2023-11-08 00:00:00,,
0004714913WE442,10033503,T3927-U01,T3927,2022-05-01 00:00:00,2022-10-17 00:00:00,tx change
0004714913WE442,10033503,T3927-U04,T3927,2022-10-17 00:00:00,,
0004714915WE5CD,10016577,T3927-U01,T3927,2022-05-01 00:00:00,2022-10-17 00:00:00,tx change
0004714915WE5CD,10016577,T3927-U04,T3927,2022-10-17 00:00:00,,
0004714917WE548,10016578,T3927-U01,T3927,2022-05-01 00:00:00,2022-10-17 00:00:00,tx change
0004714917WE548,10016578,T3927-U04,T3927,2022-10-17 00:00:00,,
0004730293WED4B,10033463,T3431-U01,T3431,2022-05-01 00:00:00,2023-05-31 00:00:00,icp decom
0004731600WE3CD,10016189,T3431-U01,T3431,2022-05-01 00:00:00,2023-07-19 00:00:00,tx change
0004731600WE3CD,10016189,T3963-U03,T3963,2023-07-19 00:00:00,,
0004836034WE923,10028163,T968-U06,T968,2022-05-01 00:00:00,2023-05-04 00:00:00,Meter change
0004836034WE923,10074830,T968-U06,T968,2023-05-04 00:00:00,,
0004904295WE17E,,T1957-U03,T1957,2022-05-01 00:00:00,2023-01-18 00:00:00,icp decom
0004910839WEE14,10028023,T2068-U01,T2068,2022-05-01 00:00:00,2024-03-21 00:00:00,tx change
0004910839WEE14,10028023,T2069-U04,T2069,2024-03-21 00:00:00,,
0005044956WEB6E,10005739,T3486-U04,T3486,2022-05-01 00:00:00,2022-10-12 00:00:00,tx change
0005044956WEB6E,10005739,T2953-U04,T2953,2022-10-12 00:00:00,,
0005102963WEBE0,,T1070-U02,T1070,2022-05-01 00:00:00,2022-11-01 00:00:00,icp decom
0005102966WE6AF,,T1070-U01,T1070,2022-05-01 00:00:00,2022-10-03 00:00:00,icp decom
0005128385WED52,,T2066-U01,T2066,2022-05-01 00:00:00,2023-10-26 00:00:00,tx change
