icp,meter,Lv circuit,DTX,ICP startdate,Icp endate,Reason
0002215461WE778,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215461WE778,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215463WE7FD,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215463WE7FD,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215464WEA37,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215464WEA37,,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215468WE929,10060705,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215468WE929,10060705,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215470WE190,10066172,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215470WE190,10066172,T7731-U01,T7731,2023-08-23 00:00:00,,
0002215478WE384,,T818-U02,T818,2022-05-01 00:00:00,2023-08-23 00:00:00,tx change
0002215478WE384,,T7731-U01,T7731,2023-08-23 00:00:00,,
