meter,Phase,status,Notes
10052956,C,0,Long term verified disconnected
10030820,C,0,Long term verified disconnected
10029347,C,0,Long term verified disconnected
10005584,C,0,Long term verified disconnected
10004840,C,0,Long term verified disconnected
10005142,C,0,Long term verified disconnected
10035694,C,0,Long term verified disconnected
10006912,C,0,Long term verified disconnected
10006887,C,0,Long term verified disconnected
10063984,C,0,Long term verified disconnected
10021494,C,0,Long term verified disconnected
10053670,C,0,Long term verified disconnected
10035677,C,0,Long term verified disconnected
10004070,C,0,Long term verified disconnected
10065165,C,0,Long term verified disconnected
10030322,C,0,Long term verified disconnected
10062230,C,0,Long term verified disconnected
10053106,C,0,Long term verified disconnected
10064224,C,0,Long term verified disconnected
10005943,C,0,Long term verified disconnected
10006834,C,0,Long term verified disconnected
10029925,C,0,Long term verified disconnected
10053225,C,0,Long term verified disconnected
10005103,C,0,Long term verified disconnected
10032899,C,0,Long term verified disconnected
10052655,C,0,Long term verified disconnected
10062277,C,0,Long term verified disconnected
10004558,C,0,Long term verified disconnected
10001540,C,0,Long term verified disconnected
10063973,C,0,Long term verified disconnected
10006913,C,0,Long term verified disconnected
10030213,C,0,Long term verified disconnected
10004559,C,0,Long term verified disconnected
10021447,C,0,Long term verified disconnected
10021450,C,0,Long term verified disconnected
10005933,C,0,Long term verified disconnected
10006940,C,0,Long term verified disconnected
10005366,C,0,Long term verified disconnected
10001483,C,0,Long term verified disconnected
10006916,C,0,Long term verified disconnected
10032659,C,0,Long term verified disconnected
10030371,C,0,Long term verified disconnected
10006038,C,0,Long term verified disconnected
10065585,C,0,Long term verified disconnected
10001913,C,0,Long term verified disconnected
10029902,C,0,Long term verified disconnected
10032760,C,0,Long term verified disconnected
10053774,C,0,Long term verified disconnected
10021497,C,0,Long term verified disconnected
10062073,C,0,Long term verified disconnected
10053970,C,0,Long term verified disconnected
10053461,C,0,Long term verified disconnected
10052374,C,0,Long term verified disconnected
10052978,C,0,Long term verified disconnected
10066400,C,0,Long term verified disconnected
10029880,C,0,Long term verified disconnected
10005548,C,0,Long term verified disconnected
10052748,C,0,Long term verified disconnected
10053053,C,0,Long term verified disconnected
10062229,C,0,Long term verified disconnected
10032911,C,0,Long term verified disconnected
10021546,C,0,Long term verified disconnected
10006232,C,0,Long term verified disconnected
10030489,C,0,Long term verified disconnected
10035700,C,0,Long term verified disconnected
10004114,C,0,Long term verified disconnected
10064075,C,0,Long term verified disconnected
10066301,C,0,Long term verified disconnected
10053447,C,0,Long term verified disconnected
10053914,C,0,Long term verified disconnected
10065849,C,0,Long term verified disconnected
10006545,C,0,Long term verified disconnected
10029366,C,0,Long term verified disconnected
10062227,C,0,Long term verified disconnected
10029745,C,0,Long term verified disconnected
10006206,C,0,Long term verified disconnected
10004944,C,0,Long term verified disconnected
10035730,C,0,Long term verified disconnected
10005296,C,0,Long term verified disconnected
10021618,C,0,Long term verified disconnected
10034441,C,0,Long term verified disconnected
10006107,C,0,Long term verified disconnected
